ts	temp_avg	vpd_avg	rh_avg	outdoor_rh_pct	enthalpy_delta	outdoor_temp_f	outdoor_dewpoint_f	indoor_dew_point	solar_irradiance_w_m2	outdoor_data_age_s	sp_temp_high	sp_temp_low	sp_vpd_high	sp_vpd_low	sp_bias_cool	sp_vpd_hysteresis	sp_watch_dwell_s	sp_bias_heat	sp_temp_hysteresis	sp_safety_max	sp_safety_min	sp_vpd_max_safe	sp_vpd_min_safe	sp_fog_escalation_kpa	sp_sw_fsm_controller_enabled	sp_mist_backoff_s	sp_mist_s2_delay_s	occupied	greenhouse_state	mode_reason	eq_fog	eq_vent	eq_fan1	eq_fan2	eq_heat1	eq_heat2	eq_mister_south	eq_mister_west	eq_mister_center
2025-08-05 14:44:00+00	73.5350036621094	1.19926130771637	57.5	30	-4.58341979980469			57.6410140991211																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:50:00+00	73.5350036621094	1.1974858045578	57.7249984741211	30	-4.88417816162109			57.6892890930176																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:52:00+00	73.5800018310547	1.19616878032684	57.625	30	-4.54316711425781			57.7675247192383																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:54:00+00	73.6250076293945	1.19795274734497	57.625	30	-4.45607376098633			57.7855072021484																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:56:00+00	73.6700057983398	1.20187485218048	57.5999984741211	30	-4.41342926025391			57.8034553527832																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:58:00+00	73.7150039672852	1.20163202285767	57.6750030517578	30	-4.33544158935547			57.8937759399414																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:00:00+00	73.6700057983398	1.20040941238403	57.6000022888184	30	-4.26030731201172			57.8637504577637																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:02:00+00	73.7150039672852	1.20235133171082	57.7249984741211	30	-4.14295196533203			57.881721496582																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:04:00+00	73.8500061035156	1.20984375476837	57.6000022888184	30	-3.49558639526367			58.0079689025879																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:06:00+00	73.8950042724609	1.20884370803833	57.6749992370605	30	-3.13043975830078			58.0621070861816																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:08:00+00	74.0299987792969	1.21929883956909	57.5	30	-3.22908020019531			58.115837097168																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:10:00+00	74.1199951171875	1.22591590881348	57.4749984741211	30	-3.19087219238281			58.139404296875																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:12:00+00	74.2099914550781	1.23175311088562	57.3249969482422	30	-3.32254791259766			58.1871032714844																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:14:00+00	74.3450012207031	1.23818719387054	57.3250007629395	30	-3.3922233581543			58.3011093139648																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:16:00+00	74.4349975585938	1.24473237991333	57.25	30	-2.99842834472656			58.3365097045898																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:18:00+00	74.5700073242188	1.25412833690643	57.1000022888184	30	-2.59162902832031			58.4260635375977																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:20:00+00	74.6150054931641	1.2566214799881	57.0750045776367	30	-2.37585067749023			58.4436836242676																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:22:00+00	74.75	1.26388001441956	57.0250015258789	30	-2.51186752319336			58.5330772399902																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:24:00+00	74.8399963378906	1.26908206939697	56.9749984741211	30	-1.99101257324219			58.5926284790039																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:26:00+00	74.9300003051758	1.27519905567169	56.9000015258789	30	-1.90359497070312			58.6521377563477																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:28:00+00	75.0650024414062	1.28385496139526	56.7999992370605	30	-1.50887680053711			58.7167816162109																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:30:00+00	75.1999969482422	1.29255497455597	56.7000007629395	30	-1.37730026245117			58.7565727233887																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:32:00+00	75.245002746582	1.29457378387451	56.7000007629395	30	-1.17746734619141			58.7862319946289																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:34:00+00	75.379997253418	1.30259823799133	56.625	30	-1.56510543823242			58.8998031616211																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:36:00+00	75.4700012207031	1.31036698818207	56.5	30	-1.49445724487305			58.959041595459																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:38:00+00	75.6500015258789	1.3220636844635	56.375	30	-1.15146636962891			59.0773887634277																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:40:00+00	75.7400054931641	1.32696461677551	56.3250045776367	30	-1.96327972412109			59.1241073608398																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:42:00+00	75.9199981689453	1.34035885334015	56.1500015258789	30	-1.68479156494141			59.2173080444336																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:44:00+00	76.0999984741211	1.35318207740784	56	30	-1.5169563293457			59.2852478027344																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:46:00+00	76.3249969482422	1.36785697937012	55.9000015258789	30	-2.23390197753906			59.4698066711426																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:48:00+00	76.5500030517578	1.38303637504578	55.6750030517578	30	-3.22413635253906			59.5664215087891																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:50:00+00	76.8199996948242	1.40273678302765	55.4749984741211	30	-2.62137603759766			59.7295341491699																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:52:00+00	77	1.42024564743042	55.2000007629395	30	-4.33164978027344			59.7831497192383																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:54:00+00	77.2250061035156	1.43756365776062	55.1000022888184	30	-3.51935195922852			59.8780288696289																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:56:00+00	77.4949951171875	1.45703446865082	54.9000015258789	30	-3.36465835571289			60.0268630981445																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 15:58:00+00	77.7200012207031	1.47286653518677	54.7750015258789	30	-3.72795104980469			60.1974906921387																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:00:00+00	77.9899978637695	1.49803006649017	54.4500007629395	30	-4.25827789306641			60.2553024291992																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:02:00+00	78.2150039672852	1.5163140296936	54.2999992370605	30	-4.70891571044922			60.3735885620117																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:04:00+00	78.4400024414062	1.53426337242126	54.0750007629395	30	-4.04902648925781			60.4914398193359																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:06:00+00	78.7099990844727	1.55435454845428	53.9500007629395	30	-4.06259536743164			60.6505661010742																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:08:00+00	78.8450012207031	1.56486511230469	53.8249969482422	30	-4.40090942382812			60.7365074157715																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:10:00+00	79.1150054931641	1.58462715148926	53.7000007629395	30	-4.73337173461914			60.9080924987793																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:12:00+00	79.2949981689453	1.60037899017334	53.5249977111816	30	-4.87009811401367			60.9959526062012																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:14:00+00	78.6650009155273	1.22032880783081	63.7000007629395	30	-9.7549934387207			65.3907775878906																				f	TEMP_IDLE_HUMID_S1		1	0	0	0	0	0	0	0	0
2025-08-05 16:16:00+00	78.3950042724609	1.22293078899384	63.3250007629395	30	-9.49831008911133			64.9662322998047																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:18:00+00	78.7099990844727	1.26165091991425	62.7500038146973	30	-9.02128982543945			64.9341506958008																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:20:00+00	79.1150054931641	1.30805289745331	61.875	30	-10.7865600585938			64.9826889038086																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:22:00+00	79.5200042724609	1.34923565387726	61.25	30	-10.4353294372559			65.061767578125																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:24:00+00	79.8349990844727	1.37348580360413	60.8499984741211	30	-9.9584846496582			65.2527313232422																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:26:00+00	80.1949996948242	1.40994882583618	60.4249992370605	30	-9.03499984741211			65.3316040039062																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:28:00+00	80.5550003051758	1.45055437088013	59.8499984741211	30	-8.0847053527832			65.3477172851562																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:30:00+00	80.9149932861328	1.47953569889069	59.5499992370605	30	-9.20655059814453			65.5531845092773																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:32:00+00	81.2300033569336	1.50492095947266	59.3000030517578	30	-9.6165657043457			65.7276763916016																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:34:00+00	81.4099960327148	1.52430641651154	59	30	-8.70034790039062			65.7139892578125																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:36:00+00	81.6800003051758	1.55112636089325	58.6999969482422	30	-9.42909240722656			65.8078079223633																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:38:00+00	81.9499969482422	1.57285916805267	58.4500007629395	30	-12.4928932189941			65.9867553710938																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:40:00+00	82.0400009155273	1.58800792694092	58.2249984741211	30	-11.9420013427734			65.9352569580078																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:42:00+00	82.0850067138672	1.47965455055237	59.1500015258789	30	-12.7897186279297			66.4317169189453																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:44:00+00	81.1399993896484	1.24874758720398	66.25	30	-15.5104484558105			68.8276519775391																				f	TEMP_IDLE_HUM_IDLE		1	0	0	0	0	0	0	0	0
2025-08-05 16:46:00+00	81.0950012207031	1.26622259616852	66.0749969482422	30	-14.467357635498			68.7078247070312																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 16:48:00+00	81.4100036621094	1.27385687828064	65.6750030517578	30	-15.738655090332			68.8299560546875																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
